sha,message,author,date,url,code_size
8a4bdc4879b0c786e92e72a51ed6724c648cb14a,"SC 2005/03/08

svn path=/trunk/matplotlib/; revision=1050",N/A,03/08/2005 02:15:42 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/8a4bdc4879b0c786e92e72a51ed6724c648cb14a,7651028
fde62db17517e66f706ba3f5a0fda77c6e75af1a,"SC 2005/03/08

svn path=/trunk/matplotlib/; revision=1049",N/A,03/08/2005 01:05:08 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/fde62db17517e66f706ba3f5a0fda77c6e75af1a,7651078
4f93d0407234c3a353eb8065f27fc8514fa6c1a2,"SC 2005/03/07

svn path=/trunk/matplotlib/; revision=1048",N/A,03/07/2005 08:31:06 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/4f93d0407234c3a353eb8065f27fc8514fa6c1a2,7650983
f45538e6c480ae299a0cf0a1c2e1bb21b5789530,"SC 2005/03/07

svn path=/trunk/matplotlib/; revision=1047",N/A,03/07/2005 04:37:13 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/f45538e6c480ae299a0cf0a1c2e1bb21b5789530,7651423
37e1c910ef8da9d9dc9ee0cdb697f5537841a430,"SC 2005/03/07

svn path=/trunk/matplotlib/; revision=1046",N/A,03/07/2005 03:42:05 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/37e1c910ef8da9d9dc9ee0cdb697f5537841a430,7651407
73bd9263f904a581db2f66c6780de06a063f584a,"SC 2005/03/05

svn path=/trunk/matplotlib/; revision=1045",N/A,03/05/2005 02:54:09 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/73bd9263f904a581db2f66c6780de06a063f584a,7650923
ad45d16fea20bc8467a47d4396d7f37ede245fd8,"SC 2005/03/05

svn path=/trunk/matplotlib/; revision=1044",N/A,03/05/2005 08:42:55 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/ad45d16fea20bc8467a47d4396d7f37ede245fd8,7647699
3d28c5bbc8b42628021681c638bfc9e0034d089e,"fixed whacked init

svn path=/trunk/matplotlib/; revision=1043",jdh2358,03/05/2005 03:19:37 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/3d28c5bbc8b42628021681c638bfc9e0034d089e,7647711
53607cd46f492c10f44160ba38b29f515465d076,"*** empty log message ***

svn path=/trunk/matplotlib/; revision=1031",jdh2358,03/04/2005 04:43:30 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/53607cd46f492c10f44160ba38b29f515465d076,7675352
4823bef8fe5183b49671eef2eca68db4a02c1ba4,"added Erics contourf patch

svn path=/trunk/matplotlib/; revision=987",jdh2358,03/01/2005 05:17:42 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/4823bef8fe5183b49671eef2eca68db4a02c1ba4,7675222
